,post,sentimento
10,racista vale nada boi guimarães joão maranhão,negativa
11,joão maranhão maior ponto achar ruim discorde aí casa,negativa
30,chorei vendo bois joão maranhão coisa linda,negativa
41,vi galera triste pq mês joão acabou gente aqui barreirinhas agosto festa maranhão sempre famoso,negativa
52,mlk tô moído cansado estafado fadigado acabado triturado acima tudo extremamente grato poder viver plenamente joão maranhão,negativa
55,certeza pior joão maranhão daqui caxias aínda bem perdi nada,negativa
66,existe nada lindo joão maranhão,negativa
79,ano q vem vou perder joão maranhão fudendo,negativa
87,racista vale nada boi guimarães joão maranhão,negativa
102,maluco sai lá esgoto falar joão maranhão menor caruaru campina grande ksksksksk cair olhos vá ti tomar cu irmão,negativa
104,saudades desse joão maranhão,negativa
108,tankei joão maranhão cansei dois dias,negativa
110,verdade maranhão muitas culturas fala mal joão daqui inveja demais,negativa
113,famigerado calendário polêmicas joão maranhão twitter,negativa
116,conheço outros acho difícil bater joão maranhão começa junho vara julho diversidade enorme manifestações culturais bebem tanto norte quanto nordeste bumba boi 4 sotaques diferentes,negativa
117,joão maranhão maior ponto achar ruim discorde aí casa,negativa
121,campina grande abertura maior joão brasil fiquei chocada pq lugar prof organizou evento participava evento ano anterior aqui olhou disse maranhão vcs outro nível,negativa
122,campina grande abertura maior joão brasil fiquei chocada pq lugar professor tava organizando evento participava olhou disse maranhão vcs outro nível,negativa
136,filho ta sabendo diferenciar falando aqui vc pois conhece joão maranhão diz desde tempo ouve falar bumba boi ta confuso to falando imensidão to falando sendo contraditório,negativa
164,coisas acho superestimadas joão maranhão arraial ipem boi morros discorda fodase,negativa
168,completamente equivocado joão maranhão forte pq vc vê tv quer dizer outros estados fraco repente joão nordeste mesma forma tentam dizer amazônia mundo br preguiça,negativa
171,chega joão maranhão especialistas cult luís saem toca postando juízo gosto disfarçado pesquisa científica sinto repulsa,negativa
172,pode joão maranhão melhor boiada daquela ontem ceará rolado 10 facadas 2 tiroteios,negativa
173,fds passado primeira vez joão maranhão fiquei pena luís esmurra,negativa
182,ódio tô tendo povo falando joão nordeste tudo coisa vai maranhão ceará piauí paraíba outros 5 estados vê encontra festa,negativa
189,joão maranhão loucura boi forró reggae cacuriá tchum tcha tudooo,negativa
196,maranhão sempre sendo boicotado nesse joão nordeste globo saojoaodonordeste,negativa
198,joão maranhão contagiante doguinho vira boi,negativa
204,paro arrepiar bixo joão maranhão coisa linda vi vida,negativa
208,todo mundo fala sobre quanto horrível maranhense nesse mês ninguém fala sobre pesadelo ter morado 30 anos maranhão ir morar ter ver melhor joão redes sociais,negativa
