header,link,title,datetime,place,subtitle,data_from,data_updated,corpus,sentimento
Maranhão,https://g1.globo.com/ma/maranhao/noticia/2024/07/14/boi-de-nina-rodrigues-boi-de-morros-e-show-da-cantora-fabricia-sao-destaques-no-arraial-do-ipem-neste-domingo-14-veja-a-programacao.ghtml,"Boi de Nina Rodrigues, Boi de Morros e Show da cantora Fabrícia são destaques no Arraial do Ipem neste domingo (14); veja a programação",Há 4 meses,Maranhão,"Entre os destaques da noite de festa, estão as apresentações Cacuriá Balaio de Rosas, Boi de Nina Rodrigues, Boi de Morros e Show de Fabrícia e Banda.",Por g1 MA— São Luís,14/07/2024 12h57,chegou dia fechar chave ouro arraial ipem último dia festança neste domingo 14 programação vai contar apresentações acontecem doi palcos montados local repleta atrações imperdíveis clique aqui seguir novo canal g1 maranhão whatsapp destaques noite festa apresentações cacuriá balaio rosa boi nina rodrigues boi morros show fabrícia banda localizado avenida sambaquis bairro calhau arraial conta apresentações grupos bumbameuboi tambor crioula cacuriá dança portuguesa show artistas locais além ter vila gastronômica repleta comidas típicas maranhenses vila gastronômica instalada arraial verdadeiro convite visitantes deliciarem comidas típicas maranhenses pratos procurados arroz cuxá vatapá mingau milho doces regionais garantindo experiência culinária única inesquecível sextafeira barracão forró localização gastronomia veja programação completa arraial ipem acaba neste domingo 14 foto paulo davi grupo mirante noite alergia arraial ipem reúne atrações diversão família 1730 tambor crioula arte 18h companhia vem bebê 19h cacuriá balaio rosa 20h boi famosão 21h luan costa 22h boi nina rodrigues 23h fabrícia banda 0h boi axixá 1h boi morros 19h trio mandacaru 21h forró top xote 23h xote meninas,positiva
São João no Maranhão,https://g1.globo.com/ma/maranhao/saojoao/noticia/2024/07/13/boi-da-maioba-boi-de-sonhos-e-show-de-thais-moreno-sao-destaques-no-arraial-do-ipem-neste-sabado-13-veja-a-programacao.ghtml,"Boi de Santa Luzia, Boi de Sonhos e Show de Thaís Moreno são destaques no Arraial do Ipem neste sábado (13); veja a programação",Há 4 meses,São João no Maranhão,"O penúltimo dia de festança vai contar com apresentações, acontecem em dois palcos montados no local, repleta de atrações imperdíveis.",Por g1 MA— São Luís,13/07/2024 11h40,neste sábado 13 arraial ipemsão luís conta programação diversificada reúne atrações toda idades gostos penúltimo dia festança vai contar apresentações acontecem doi palcos montados local repleta atrações imperdíveis clique aqui seguir novo canal g1 maranhão whatsapp destaques noite festa apresentações dança portuguesa arte beleza portugal boi sonhos boi santa luzia show thaís moreno localizado avenida sambaquis bairro calhau arraial conta apresentações grupos bumbameuboi tambor crioula cacuriá dança portuguesa show artistas locais além ter vila gastronômica repleta comidas típicas maranhenses vila gastronômica instalada arraial verdadeiro convite visitantes deliciarem comidas típicas maranhenses pratos procurados arroz cuxá vatapá mingau milho doces regionais garantindo experiência culinária única inesquecível sábado 13 barracão forró localização gastronomia arraial ipem luís prepara última semana arraial foto governo maranhão arraial ipem reúne público durante temporada junina maranhão 1730 tambor crioula brilho união 18h dança portuguesa arte beleza portugal 19h boi tamarineiro 20h erick andrade 21h boi lendas magias 22h thai moreno 23h boi sonhos 00h boi santa luzia 19h xoteando slz 21h forró grude aí 23h trio mulundus,positiva
São João no Maranhão,https://g1.globo.com/ma/maranhao/saojoao/noticia/2024/07/12/boi-de-maracana-e-show-de-tom-cleber-animam-arraial-do-ipem-nesta-sexta-12-veja-a-programacao.ghtml,Boi de Maracanã e Show de Tom Cleber animam Arraial do Ipem nesta sexta (12); veja a programação completa,Há 4 meses,São João no Maranhão,"Além de apresentações culturais e shows de aristas locais, o arraial também conta com um palco destinado a sucessos do forró.",Por g1 MA— São Luís,12/07/2024 11h37,barracas comidas típicas brincadeiras apresentações culturais arraial ipem conta programação especial nesta quintafeira 11 emsão luís além apresentações culturais show arista locais arraial conta palco destinado sucessos forró clique aqui seguir novo canal g1 maranhão whatsapp programação desta quintafeira repleta diversas manifestações culturais maranhão atrações dança portuguesa amigo portugal boi encanto olho dágua show tom cleber localizado avenida sambaquis bairro calhau arraial conta apresentações grupos bumbameuboi tambor crioula cacuriá dança portuguesa show artistas locais além ter vila gastronômica repleta comidas típicas maranhenses 14 julho atrações apresentam palcos principal alternativo barracão forró além programação especial público infantil todo local espaços instagramáveis área acessibilidade área específica soltura bombinhas barraca tiro além disso distribuídos 70 pontos alimentação bebidas sextafeira 12 barracão forró espaço veja programação completa arraial ipem vai dia 14 julho foto paulo davi grupo mirante arraial ipem luís prepara última semana arraial foto governo maranhão 1730h dança portuguesa amigo portugal 18h quuadrilha juventude esperança 19h boi encanto olho dágua 20h tom cleber 21h companhia barrica 22h mix in brasil 23h boi maracanã 00h boi ribamar 19h forró ganzola pé chão 21h forró pegado 23h andrezinho brotos forró,positiva
Maior São João do mundo! 🎆,https://g1.globo.com/ma/maranhao/saojoao/noticia/2024/07/11/boi-de-nina-rodrigues-e-quadrilha-juventude-do-sertao-animam-arraial-do-ipem-nesta-quinta-11-veja-a-programacao.ghtml,Boi de Nina Rodrigues e Quadrilha Juventude do Sertão animam Arraial do Ipem nesta quinta (11); veja a programação,Há 4 meses,São João no Maranhão,"Até 14 de julho, grupos folclóricos e artistas maranhenses farão apresentações em quatro espaços montados para garantir a diversão do público.",Por g1 MA— São Luís,11/07/2024 11h28,barracas comidas típicas brincadeiras apresentações culturais oarraial ipemconta programação especial nesta quintafeira 11 emsão luís além apresentações culturais show arista locaiso arraial conta palco destinado sucessos forró programação desta quintafeira repleta diversas manifestações culturais maranhão atrações aquadrilha juventude sertão adança portuguesa nobreza lisboae oboi morros localizado avenida sambaquis bairro calhau arraial conta apresentações grupos bumbameuboi tambor crioula cacuriá dança portuguesa show artistas locais além ter vila gastronômica repleta comidas típicas maranhenses até14 julho atrações apresentam palcos principal alternativo nobarracão forró além programação especial público infantil todo local espaços instagramáveis área acessibilidade área específica soltura bombinhas barraca tiro além disso distribuídos 70 pontos alimentação bebidas barracão forró espaço veja programação completa quinta arraial ipem conta programação especial nesta quintafeira 11 luís foto arquivo pessoal arraial ipem luís prepara última semana arraial foto divulgaçãogoverno maranhão noite alergia arraial ipem reúne atrações diversão família 18h dança country chapéu ouro 18h30 quadrilha juventude sertão 19h dança portuguesa nobreza lisboa 20h dressah 21h boi brilho ilha 22h maycon campos 23h boi morros 19h forró cabo zé 21h forró zbumbaçuado,neutra
,https://g1.globo.com/ma/maranhao/saojoao/noticia/2024/07/27/boi-de-santa-fe-encerra-a-temporada-com-o-tradicional-ritual-de-morte-do-boi.ghtml,Boi de Santa Fé encerra a temporada com o tradicional Ritual de Morte do Boi,Há 4 meses,São João no Maranhão,"A festividade, começa com a saída do boi para vadiar, e termina no domingo (28) com a morte do boi e a quebra do Mourão, na sede do grupo, no bairro de Fátima, em São Luís.",Por g1 MA— São Luís,27/07/2024 11h35,grupo bumba boi unidos santa fé realiza neste sábado 27 encerramento temporada 2024 esperado ritual morte boi evento promete muita emoção celebração festividade começa saída boi vadiar termina domingo 28 morte boi quebra mourão sede grupo bairro fátima emsão luís clique aqui seguir novo canal g1 maranhão whatsapp durante 2024 grupo bumba boi sotaque baixada realizou diversas apresentações momentos marcantes público reforçando importância preservação cultura maranhense evento realizado sede boi localizada 2ª travessa djard ramos martin nº 5 bairro fátima unidos santa fé conhecido dedicação preservação tradições culturais maranhão ritual morte boi oportunidade única comunidade celebrar emocionar rica herança cultural sábado 27 domingo 28 confira abaixo programação completa fim semana boi santa fé foto nely gomes 18h30 canto cultura reviver 21h00 vamos festejar convento mercês 23h00 joão tradição liberdade 01h00 residência joaci bairro fátima 16h00 tambor crioula brinquedo benedito 17h30 cortejo ruas bairro busca boi fugido 18h00 show arrocha zuzu maranhão fran teixeira paulinho show 20h00 ritual morte boi derrubada mourão,positiva
,https://g1.globo.com/ma/maranhao/saojoao/noticia/2024/07/20/boi-de-maracana-e-boi-de-axixa-estao-entre-as-atracoes-do-vamos-festejar-neste-sabado-20-veja-a-programacao.ghtml,Boi de Maracanã e Boi de Axixá estão entre as atrações do 'Vamos Festejar' neste sábado (20); veja a programação,Há 4 meses,São João no Maranhão,"O ‘Vamos Festejar - São João nas Férias’ é um projeto promovido pela Fundação da Memória Republicana Brasileira (FMRB), por meio da Lei de Incentivo à Cultura.",Por g1 Ma— São Luís,20/07/2024 08h39,mês julho ainda festança joão emsão luís vamos festejar joão férias começou última quartafeira 17 segue neste sábado 20 vasta programação convento mercês centro histórico capital clique aqui seguir novo canal g1 maranhão whatsapp além grandes grupos cultura popular maranhense vamos festejar conta barracas comidas típicas feira artesanato área infantil adaptada pessoas deficiência mobilidade reduzida iniciativa ofertando público oficinas temáticas workshop sobre cultura maranhão vamos festejar joão férias projeto promovido fundação memória republicana brasileira fmrb meio lei incentivo cultura evento entrada gratuita ocorre dia 17 20 24 28 julho veja programação deste sábado 20 boi axixá apresentando convento mercês centro histórico capital foto rafaelle fróesg1 ma 18h barriquinha 19h boi joão paulo 20h boi oriente 21h boi tremor campina 22h boizinho barrica 23h boi maracanã 0h boi axixá,positiva
,https://g1.globo.com/ma/maranhao/noticia/2024/07/17/vamos-festejar-comecca-nesta-quarta-feira-17-veja-a-programacao.ghtml,'Vamos Festejar' começa nesta quarta-feira (17); veja a programação,Há 4 meses,São João no Maranhão,A iniciativa também vai ofertar ao público oficinas temáticas e workshops sobre a cultura do Maranhão.,Por g1 Ma— São Luís,17/07/2024 08h49,nesta quartafeira 17 começa programação vamos festejar joão férias evento multicultural realizado convento mercês centro histórico luís clique aqui seguir novo canal g1 maranhão whatsapp evento entrada gratuita acontecerá dia 17 20 24 28 julho atrações grupos cultura popular maranhense tai bumba boi cacuriá quadrilhas tambor crioula dança coco outras atrações iniciativa vai ofertar público oficinas temáticas workshop sobre cultura maranhão espaço contará barracas comidas típicas feira artesanato área infantil adaptada pessoas deficiência mobilidade reduzida quartafeira 1707 quintafeira 1807 sextafeira 1907 sábado 2007 veja abaixo programação primeira semana vamos festejar vamos festejar começa hoje 17 luís veja programação foto divulgação fmrb 18h encontro mestres cantadores 19h coco pirinã 20h cacuriá balaio rosa 21h boi santa fé 22h boizinho barrica 23h boi maracanã 19h boi itapary 20h boi fé deus 21h boi brilho ilha 22h boi ribamar 23h boi nina rodrigues 18h dança portuguesa império lisboa lelê simão 19h boizinho incantado 20h boi sociedade cururupu umbelino 21h boi lua 22h boi pindaré 23h boi morros 0h boi maioba 18h barriquinha 19h boi joão paulo 20h boi oriente 21h boi tremor campina 22h boizinho barrica 23h boi maracanã 0h boi axixá,positiva
,https://g1.globo.com/ma/maranhao/saojoao/noticia/2024/07/10/boi-upaon-acu-boi-da-pindoba-e-show-de-renan-soeiro-sao-destaques-no-arraial-do-ipem-nesta-quarta-feira-10-veja-a-programacao.ghtml,"Boi Upaon Açu, Boi da Pindoba e Show de Renan Soeiro são destaques no Arraial do Ipem nesta quarta-feira (10); veja a programação",Há 4 meses,São João no Maranhão,"A programação do Arraial do Ipem segue até 14 de julho e as apresentações, acontecem em dois palcos montados no local. Com uma programação repleta de atrações imperdíveis",Por g1 MA— São Luís,10/07/2024 11h45,nesta quartafeira 10 arraial ipemsão luís conta programação diversificada reúne atrações toda idades gostos destaques noite festa apresentações dança country espora prata boi novilho branco marcelo rocha flashback forró clique aqui seguir novo canal g1 maranhão whatsapp programação arraial ipem segue 14 julho apresentações acontecem doi palcos montados local programação repleta atrações imperdíveis localizado avenida sambaquis bairro calhau arraial conta apresentações grupos bumbameuboi tambor crioula cacuriá dança portuguesa show artistas locais além ter vila gastronômica repleta comidas típicas maranhenses vila gastronômica instalada arraial verdadeiro convite visitantes deliciarem comidas típicas maranhenses pratos procurados arroz cuxá vatapá mingau milho doces regionais garantindo experiência culinária única inesquecível quartafeira 10 barracão forró localização gastronomia veja programação completa programação arraial ipem vai dia 14 julho foto claudia pons g1 17h30 dança country espora prata 18h quadrilha busca pé ilha 19h boi upaon açu 20h renan soeiro 21h boi novilho branco 22h marcelo rocha flashback forró 23h boi pindoba m 19h xote meninas 21h forró xeleleu,positiva
,https://g1.globo.com/ma/maranhao/noticia/2024/07/09/boi-do-mestre-leonardo-boi-encanto-do-sao-cristovao-sao-destaques-no-arraial-do-ipem-nesta-terca-feira-9-veja-a-programacao.ghtml,"Boi do Mestre Leonardo, Boi Encanto do São Cristóvão são destaques no Arraial do Ipem nesta terça-feira (9); veja a programação",Há 4 meses,São João no Maranhão,"A programação do Arraial do Ipem segue até 14 de julho e as apresentações, acontecem em dois palcos montados no local. Com uma programação repleta de atrações imperdíveis",Por g1 MA— São Luís,09/07/2024 09h09,nesta terçafeira 09 arraial ipem luís conta programação diversificada reúne atrações toda idades gostos destaques noite festa apresentações dança portuguesa esplendor português boi mestre leonardo show lucas seabra clique aqui seguir novo canal g1 maranhão whatsapp programação arraial ipem segue 14 julho apresentações acontecem doi palcos montados local programação repleta atrações imperdíveis localizado avenida sambaquis bairro calhau arraial conta apresentações grupos bumbameuboi tambor crioula cacuriá dança portuguesa show artistas locais além ter vila gastronômica repleta comidas típicas maranhenses vila gastronômica instalada arraial verdadeiro convite visitantes deliciarem comidas típicas maranhenses pratos procurados arroz cuxá vatapá mingau milho doces regionais garantindo experiência culinária única inesquecível terçafeira 9 barracão forró localização gastronomia arraial ipem vai dia 14 julho foto paulo davi grupo mirante diversidade ritmos sotaques anima público arraial ipem luís 17h30 tambor crioula milagre benedito dona nilza 18h dança portuguesa esplendor português 19h cia carcara 20h mixirico junino 21h boi mestre leonardo 22h lucas seabra 23h boi encanto cristóvão 19h forró pegado 21h trio cheiro terra,positiva
,https://g1.globo.com/ma/maranhao/saojoao/noticia/2024/07/07/bois-de-axixa-e-pindoba-agitam-arraial-do-ipem-neste-domingo-7-veja-a-programacao-completa.ghtml,Bois de Axixá e Pindoba agitam Arraial do Ipem neste domingo (7); veja a programação completa,Há 5 meses,São João no Maranhão,"Também se apresentam, neste domingo (7), os bois da Lua e de Upaon Açu. Os shows de Pedrinho VDS e Mayara Lins são destaques na programação do arraial.","Por g1 MA— São Luís, MA",07/07/2024 08h39,toda alegria mistura ritmos beleza presentes joão maranhão destaques neste domingo 7 dia programação arraial ipem emsão luís espaço recebe apresentações culturais dia 14 julho clique aqui inscrever canal g1 ma whatsapp destaques programação apresentações bois axixá lua pindoba cantora mayara lin dança portuguesa encanto interior barracão forró arraial ipem localizado avenida sambaquis bairro calhau luís espaço conta apresentações grupos bumbameuboi tambor crioula cacuriá dança portuguesa show artistas locais além ter vila gastronômica repleta comidas típicas maranhenses vila gastronômica instalada arraial verdadeiro convite visitantes deliciarem comidas típicas maranhenses pratos procurados arroz cuxá vatapá mingau milho doces regionais garantindo experiência culinária única inesquecível veja abaixo programação deste domingo 7 localização gastronomia boi morros anima arraial ipem luís foto adriano soaresgrupo mirante diversidade ritmos sotaques anima público arraial ipem luís 17h30 quadrilha junina encanto interior 18h dança portuguesa cultura portuguesa 19h boi upaon açu 20h pedrinho vd 21h boi axixá 22h mayara lin 23h boi lua 00h boi pindoba 19h forró suvaco cobra 21h forró top xote 23h forró ilha,positiva
